id_user,id_film,nama_user,tanggal_user,isi_user,rating_user
40305,10033,linearattack,3-Aug-20,Could be much better,5
40337,10037,lubbme_shamy,13-Feb-22,Exceeded my expectations,8
40392,10051,lubbme_shamy,13-Feb-22,Exceeded my expectations,8
40369,10045,Luvstagrind,10-Aug-24,It was super'meh',6
40074,10006,mademoisherl,4-Dec-22,Couldve been so much better than this,6
40383,10048,Magnificent!,28-Apr-19,dcid,8
40081,10007,magnussonborski,20-Nov-22,Not good; but not that bad either,5
40295,10031,makanandansusu,15-Feb-21,Ok movie but a little bit let down.,5
40006,10002,mariolsitumorang,8-Sep-23,Crazy Plot for Indonesian Film,8
40370,10045,martindope,2-Sep-19,The Beginning of Bumilangit Cinematic Universe,8
40145,10013,masagusridwanfebriyan,20-Aug-22,Very disappointed,1
40113,10010,massagekirana,9-Aug-19,Film Keren,10
40136,10011,Matt73,1-Aug-02,Diamond in the Rough,8
40160,10013,mayaagustini,20-Aug-22,Not bad,7
40335,10037,mayaagustini,30-Dec-20,Great Movie,8
40394,10051,mayaagustini,30-Dec-20,Great Movie,8
40172,10014,mazisramadhan,22-Dec-23,Cinematic symphony of emotion,10
40128,10011,meydiana-65242,31-May-21,Not bad movie,8
40231,10023,meydiana-65242,31-May-21,Great; not so bad for a sequel,10
40260,10028,meydiana-65242,15-Mar-21,Habibie & Ainun (2012),10
40048,10004,michael-64099,21-Jan-22,This is no clickbait movie; its really good!,9
40091,10009,MichaelNontonMulu,26-Aug-22,A Pretty Well Executed Indonesian Heist Movie,8
40236,10025,MichaelNontonMulu,3-Oct-18,A Nice Romantic Movie with Some Wonderful Culinary Experience,8
40389,10050,micochanalmonte,3-Jun-22,I want my 2 hours back!,1
40095,10009,mikesimatupang,28-Aug-22,The title didnt attract me AT ALL; but turned out its A GOOD MOVIE TO WATCH!!!,8
40151,10013,mikesimatupang,28-Aug-22,Got free ticket & dissapointed. Ngl; you better watch other movie!,2
40137,10011,milakariyn,24-Jul-12,Simple yet touching story!,7
40098,10009,Miputra,6-Sep-22,A bad movie and a good movie in one movie,7
40278,10031,mkcen2000,10-Sep-05,Simply fresh; simple; hip but intelligent; a promise well delivered.,9
40345,10038,mondaymoviemania,17-Oct-07,Capital A.,1
40078,10006,monibhebhe,17-Nov-22,best superhero movie in southeast asia,10
40018,10003,morrison-dylan-fan,3-May-20,Rosemarys Slaves.,8
40142,10012,movietrailermm,25-Aug-22,Broken wing another broken script,1
40329,10036,nadia_khoi,19-Sep-20,Amazing,9
40377,10047,nawincreak-94195,1-Jun-24,just an ordinary romantic movie,6
40039,10004,nayyar-aditya,16-Jan-22,Good; but have been much better!,6
40251,10027,nenen,28-Jul-05,Gie: The Hidden Thunder,7
40084,10007,niarlove,18-Nov-22,IMPROVED 100%!!!,10
40031,10003,nicholassantoso,30-Oct-22,The best horror movie in Indonesia,8
40085,10007,nick98nicholas,22-Nov-22,Well-made; action-packed; Indonesian film.,8
40014,10003,nogodnomasters,17-Aug-20,We dont pray.,4
40063,10005,nottfreyja,13-Jun-22,Whole package of family movie,9
40318,10036,Nurfauzi-fikri9,8-Sep-20,Better than I expected,9
40330,10036,obinbisnis,16-Sep-20,Ditunggu episode 2 atau SERIES nya! Keren!,8
40034,10004,ops-52535,15-Jan-22,hardly ever seen...,8
40102,10009,ops-52535,5-Jan-23,a highly interesting...,9
40240,10025,oshkpublikahk,5-Dec-19,Recommended for Food Hunter,9
40043,10004,Otte1,11-Sep-22,Bad ending,4
40268,10030,paryudiyudi,20-Mar-18,Well; too overated to make it above 7.5,1
40065,10005,pasaribuharisfadli,8-Jun-22,A familial comedy-drama that felt familiar and pertinent,7
40165,10014,pasaribuharisfadli,10-Dec-21,Multilayered in its simplicity. A gem need to watch!,8
40216,10020,pasaribuharisfadli,8-Jan-22,What a mess!,5
40353,10042,pasaribuharisfadli,30-Apr-22,More mystery drama than horror,5
40322,10036,pasyalyana,15-Sep-20,Mood Booster Indonesian Movie 2020,10
40090,10008,paul_haakonsen,15-Jul-23,Quite a beautiful and emotional movie...,7
40239,10025,peteradisaputro,10-May-20,Quite Simple Story and Entertaining,8
40087,10008,pink_giulie,19-Nov-20,Wonderful; emotional movie,10
40198,10016,pragyaaguna,24-Jun-22,Doesnt Feel Like A Very Special Movie; But Its Also Far From Bad,5
40271,10030,precillia_ss,16-Mar-18,Light story but full of moral values.,10
40256,10027,proletariatpower,17-Mar-06,could have been better....,3
40341,10038,p-stepien,17-Jul-09,Brilliant if uneven: Dead is in!,8
40310,10034,PutriNurjanna,8-May-19,Less dialogue deep meaning,8
40336,10037,PutriNurjanna,13-Nov-18,Simple but deep,9
40396,10051,PutriNurjanna,13-Nov-18,Simple but deep,9
40040,10004,qui_j,26-Jan-22,Indonesian Teen Drama plus Agatha Christie!,3
40367,10045,Raden_Erlangga,30-Aug-19,Good Start,7
40210,10018,radenvito-08616,13-Jun-18,Touch on Real Life of chinese indonesian; not pulling away from issues but delivering them with grace,8
40100,10009,rafaelfardhan,13-Sep-22,A film that is not boring; a good plot and a good story,10
40220,10021,rafiibarati,13-May-19,5 cm is real in frront of your eyes,10
40080,10007,rahimnoryan,6-Dec-23,I AM PROUD TO BE INDONESIAN,7
40101,10009,rahmanita-12828,4-Sep-22,Best Indonesia movie about heist,9
40178,10015,rainerraff-87519,13-Jul-20,Critics that also give you a good relief,9
40192,10016,rainerraff-87519,12-Jan-19,Will Not Fail to Touch Your Heart,9
40051,10004,raj-bhullar,22-Jul-22,Gripping; underrated; hidden gem,9
40348,10040,ramadavy-79572,15-Jan-21,Its just sad,2
40373,10046,ramadavy-79572,15-Jan-21,Its just sad,2
40225,10022,ratihanisah,13-May-19,Commedy,9
40122,10011,rayfienta22,9-Nov-14,"Ada Apa dengan Cinta?"" Forever.",10
40226,10022,rd-djunaedi,6-Jun-21,All casts are great except Morgan Oey,8
40312,10034,Re1nard,10-Jul-22,Boring. Irrational. Too many loopholes.,2
40016,10003,redrobin62-321-207311,7-Aug-18,Couldve Been Better.,5
40114,10010,reinaldowilliam818,29-Jul-19,The movie that we need AND we deserve,8
40229,10023,reinaldowilliam818,17-May-16,Hey; whats up with love?,8
40302,10033,reinaldowilliam818,22-Oct-16,Succinct and heartwarming.,8
40333,10037,reinaldowilliam818,30-Oct-17,Roller Coaster of Emotion in an Abusive Relationship Themed Movie.,8
40023,10003,reinzarvest-04176,2-Dec-20,Awesome,10
40110,10010,RendyBrontosaurus,11-Nov-20,Dare to be Different!!,8
40175,10015,rescy009,29-Dec-19,Not your typical Asian drama movies......,8
40282,10031,resident_evilmaniac,14-Jun-07,A truly entertaining; inspiring; and meaningful ride! Highly recommended.,8
40351,10040,retno_hariyadi,13-Mar-20,not recommended,1
40371,10046,retno_hariyadi,13-Mar-20,not recommended,1
40323,10036,retnokhastuti,15-Sep-20,Nice,9
40207,10018,rgamawann,22-Sep-17,Quite a good movie. Recommended.,8
40190,10016,RHZlubis,29-Apr-20,Its good; but overrated,7
40390,10050,RHZlubis,29-Apr-20,Bring parenting to the new level,8
40284,10031,rianty-wahab,10-Feb-10,"""Unique original story with over ambitious script writings""",7
40304,10033,rifqi_klose,30-Oct-18,One of the best Indonesian film in decade,10
40361,10044,rizqyazzahrahkhansa,23-Mar-21,Best historical film,10
40149,10013,rudihermawanhajimugeni,23-Aug-22,Bad Movies,1
40071,10005,ryolusky13,6-Oct-22,An honest and balanced portrait of Batak family and its cultural values,9
40252,10027,sahman_dede,9-Oct-05,A part of Indonesian Struggle,7
40363,10044,samabc-31952,27-Oct-20,Excellent screenplay,8
40064,10005,samODA-092,4-Jul-22,Really represents the Bataknese family,10
40292,10031,sanguine80,7-May-05,Trying too hard to be funny,6
40077,10006,sanjaime-10089,19-Nov-22,This was far better than gundala,8
40075,10006,sansanxaverius-76886,21-Nov-22,Wonder Woman Wanna Be,6
40047,10004,santosofajar-76865,26-Jan-22,Controversial Social Issue; Watered Down,2
40343,10038,savatose,9-Aug-07,Something new,7
40234,10024,setigaiki,22-May-16,Great; not so bad for a sequel.,8
